key,0
#,Name
offset,0
int32,str
0,
1,整體
2,迷宮探險
3,討伐殲滅戰
4,大型任務
5,怪物狩獵
6,尋寶
7,整體
8,排名
9,競技場
10,紛爭前線
11,烈羽爭鋒
12,整體
13,戰鬥菁英
14,魔法導師
15,能工巧匠
16,大地使者
17,評價
18,金碟遊樂場
19,整體
20,貨幣
21,分解
22,收藏品
23,魔晶石
24,刻木匠
25,鍛鐵匠
26,鑄甲匠
27,雕金匠
28,製革匠
29,裁衣匠
30,煉金術士
31,烹調師
32,採礦工
33,園藝工
34,捕魚人
35,整體
36,理符任務
37,友好部族任務
38,季節活動
39,探索筆記
40,拉諾西亞
41,黑衣森林
42,薩納蘭
43,庫爾札斯
44,摩杜納
45,阿巴拉提亞
46,龍堡
47,基拉巴尼亞
48,奧薩德
49,副本任務
50,整體
51,黑渦團
52,雙蛇黨
53,恆輝隊
54,戰鬥
55,貨幣
56,採集
57,任務
58,季節活動
59,迷宮
60,探索
61,大國防聯軍
62,上古武器
63,黃道武器
64,元靈武器
65,深層迷宮聚魔裝備
66,禁地兵裝
67,諾弗蘭特
68,義軍武器
69,全職業共通
70,天鋼工具
71,特殊場景探索
72,北洋地域
73,伊爾薩巴德大陸
74,其他
75,曼德維爾武器
76,主線任務
77,職業任務
78,莫雯卓越工具
79,尤卡圖拉爾
80,薩卡圖拉爾
81,幻境武器
82,宇宙工具
