key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_VOICEMAN_07400_000010_ALPHINAUD,之前的混亂已經基本平息。<hex:02100103>沒有卡琉克斯在背後操縱，黑色調魂器應該不會有什麼影響了。<hex:02100103>返還記憶的工作也有條不紊，看來大家還是希望回憶起逝者的。
1,TEXT_VOICEMAN_07400_000020_ALPHINAUD,現在亞歷山德裡亞已經重歸和平，<hex:02100103>我和阿莉塞有件事想對大家說。
2,TEXT_VOICEMAN_07400_000030_ALISAIE,我們覺得是時候離開圖拉爾大陸了。<hex:02100103>首先需要去向各國說明亞歷山德裡亞的情況。<hex:02100103>畢竟是突然從第九世界轉移過來的國家，得讓他們有所了解。
3,TEXT_VOICEMAN_07400_000040_ALISAIE,之後去加雷馬，那邊的重建工作還需要人手。<hex:02100103>這次來圖拉爾有很多新的收穫，<hex:02100103>要把這些經驗都運用起來才行啊！
4,TEXT_VOICEMAN_07400_000045_ALPHINAUD,不過，眼下還有一個問題讓我無法忽視。
5,TEXT_VOICEMAN_07400_000046_ALPHINAUD,卡琉克斯知道創造「理念」，還進行了「請神」……<hex:02100103>毫無疑問，有無影在他背後指點。<hex:02100103>所以接下來，這邊得有人繼續收集無影的線索。
6,TEXT_VOICEMAN_07400_000050_YSHTOLA,我們還不會那麼早回去，無影的事就交給我們吧。<hex:02100103>現在麻痺和精煉的治療都已經告一段落，<hex:02100103>我也準備開始調查些新東西了。
7,TEXT_VOICEMAN_07400_000051_ALPHINAUD,太好了，這樣我就放心了。<hex:02100103>有情況隨時聯繫我們。
8,TEXT_VOICEMAN_07400_000070_ERENVILLE,(-埃倫維爾-)……是我。<hex:02100103>我馬上就離開圖萊尤拉了，<hex:02100103>上船之前，想著和你打聲招呼。
9,TEXT_VOICEMAN_07400_000080_ERENVILLE,(-埃倫維爾-)反正你也會到處旅行，我們說不定還能在哪碰見。<hex:02100103>有緣再會吧。
10,TEXT_VOICEMAN_07400_Q1_000_001_NONE_VOICE,要說什麼？
11,TEXT_VOICEMAN_07400_A1_000_001_NONE_VOICE,祝你旅途平安
12,TEXT_VOICEMAN_07400_A1_000_002_NONE_VOICE,起碼讓我送送你嘛……
13,TEXT_VOICEMAN_07400_000090_ERENVILLE,(-埃倫維爾-)嗯，你也多保重。<hex:02100103>那我先掛了……
14,TEXT_VOICEMAN_07400_000100_ERENVILLE,(-埃倫維爾-)你不是每天都特別忙嗎？<hex:02100103>倒也不用特地過來……
15,TEXT_VOICEMAN_07400_000110_ERENVILLE,(-埃倫維爾-)……哎！<hex:02100103>你幹什麼，別鬧！
16,TEXT_VOICEMAN_07400_000120_WUKLAMAT,(-烏克·拉瑪特-)喂，不好意思啊，我插一句！<hex:02100103>這傢伙原先說走之前會找你說一聲，我還以為他開竅了，<hex:02100103>誰能想到他真打算這麼打完招呼就跑。
17,TEXT_VOICEMAN_07400_000130_WUKLAMAT,(-烏克·拉瑪特-)現在離出港還有段時間，我已經按住這個薄情寡義的傢伙了，<hex:02100103>你快去找其他人，一起過來送送他！
18,TEXT_VOICEMAN_07400_000140_KRILE,埃倫維爾真是一點兒沒變……<hex:02100103>還好拉瑪提把他攔住了。
19,TEXT_VOICEMAN_07400_000150_ALPHINAUD,機會難得，我們乾脆和他搭同一班船吧？<hex:02100103>三個人搭夥作伴，路上肯定不會無聊。
20,TEXT_VOICEMAN_07400_000160_ALISAIE,啊？！你認真的？！<hex:02100103>我行李還沒收拾完呢！
21,TEXT_VOICEMAN_07400_000170_ALPHINAUD,我猜你已經收拾不少了吧？
22,TEXT_VOICEMAN_07400_000180_ALISAIE,唉……
23,TEXT_VOICEMAN_07400_000190_ALISAIE,哎呀真煩人，就你餿主意多……<hex:02100103>行吧行吧，趕緊回去把東西收拾完。
24,TEXT_VOICEMAN_07400_000200_ALISAIE,啊對了，給尤盧斯他們的禮物怎麼辦？
25,TEXT_VOICEMAN_07400_000210_ALPHINAUD,放心，我已經準備好幾樣了……
26,TEXT_VOICEMAN_07400_000220_YSHTOLA,呵呵，那兄妹倆也還是老樣子，<hex:02100103>什麼都不說也能那麼有默契。
27,TEXT_VOICEMAN_07400_000230_GRAHATIA,對了，我和可露兒還有雅·修特拉暫時會留在這邊。
28,TEXT_VOICEMAN_07400_000231_YSHTOLA,是為了進一步調查那把「鑰匙」。<hex:02100103>你們不是發現保全院的研究所裡有些線索嗎？<hex:02100103>我當然不會放過這個機會。
29,TEXT_VOICEMAN_07400_000240_KRILE,謝爾正在重新調查那座研究所，<hex:02100103>是不是該找她確認一下進展了……
30,TEXT_VOICEMAN_07400_000250_ORIGINALSPHENE,她應該也要去送行的。<hex:02100103>我們去問問調查情況，然後叫上她一起去港口吧。
31,TEXT_VOICEMAN_07400_000260_WUKLAMAT,喂，來了來了！
32,TEXT_VOICEMAN_07400_000270_ALISAIE,你精神頭挺足呀。<hex:02100103>看來之前的傷恢復得很不錯。
33,TEXT_VOICEMAN_07400_000280_WUKLAMAT,還是你們治療技術好呀！<hex:02100103>我現在都能開始處理一些政務了。
34,TEXT_VOICEMAN_07400_000290_ALPHINAUD,那你可要忙起來了。<hex:02100103>柯納國王和古魯加還好嗎？
35,TEXT_VOICEMAN_07400_000300_WUKLAMAT,柯納哥接下來要去國內各地視察，<hex:02100103>為了制定今後的政策，他準備聽聽當地居民的想法。
36,TEXT_VOICEMAN_07400_000310_WUKLAMAT,古魯加的話，他早就沉迷在練劍裡了。<hex:02100103>在勇連隊待著的時間比跟我一起的還多！
37,TEXT_VOICEMAN_07400_000320_ALPHINAUD,再次站在這裡，我不禁想起剛來那天的光景。<hex:02100103>我們在圖拉爾經歷了那麼多事，<hex:02100103>感覺繼位儀式好像都已經過去很久了。
38,TEXT_VOICEMAN_07400_000330_WUKLAMAT,是啊，那是一切的起點。<hex:02100103>後來亞歷山德裡亞突然出現，老爹和大哥決裂，<hex:02100103>我與永久人斯菲因相識……
39,TEXT_VOICEMAN_07400_000340_WUKLAMAT,找你們來當繼位儀式的協助者真是太好了。<hex:02100103>我能走到今天，每一步都離不開你們的幫助，<hex:02100103>真的非常感謝。
40,TEXT_VOICEMAN_07400_000350_WUKLAMAT,我……不對，應該是整個圖萊尤拉聯合王國，<hex:02100103>我們欠你們一份永遠也還不清的恩情。
41,TEXT_VOICEMAN_07400_000360_WUKLAMAT,所以以後要是有什麼問題，一定要來找我們！<hex:02100103>圖萊尤拉永遠都是你們可靠的夥伴。
42,TEXT_VOICEMAN_07400_000370_ORIGINALSPHENE,我也要再次謝謝你們。
43,TEXT_VOICEMAN_07400_000380_ORIGINALSPHENE,我剛甦醒的時候對整個世界都感到陌生……<hex:02100103>是你們的陪伴和安慰給了我勇氣。<hex:02100103>你們還拯救了亞歷山德裡亞，多少句謝謝都表達不了我的心情。
44,TEXT_VOICEMAN_07400_000390_ORIGINALSPHENE,而且……
